comunidad;centros;numero
Andalucía;adscritos;15
Aragón;adscritos;7
Principado de Asturias;adscritos;3
Baleares;adscritos;4
Canarias;adscritos;4
Cantabria;adscritos;3
Castilla-La Mancha;adscritos;0
Castilla y León;adscritos;10
Cataluña;adscritos;54
Comunitat Valenciana;adscritos;9
Extremadura;adscritos;1
Galicia;adscritos;13
Comunidad de Madrid;adscritos;33
Región de Murica;adscritos;5
Comunidad Foral de Navarra;adscritos;0
País Vasco;adscritos;5
Andalucía;propios;145
Aragón;propios;19
Principado de Asturias;propios;15
Baleares;propios;11
Canarias;propios;31
Cantabria;propios;14
Castilla-La Mancha;propios;41
Castilla y León;propios;88
Cataluña;propios;111
Comunitat Valenciana;propios;76
Extremadura;propios;17
Galicia;propios;68
Comunidad de Madrid;propios;131
Región de Murica;propios;34
Comunidad Foral de Navarra;propios;24
País Vasco;propios;34
